fullName,description,url,stars,size,language,pushedAt,forks,openIssues
ballcat-projects/ballcat,😸一个快速开发脚手架，快速搭建企业级后台管理系统，并提供多种便捷starter进行功能扩展。主要功能包括前后台用户分离，菜单权限，数据权限，定时任务，访问日志，操作日志，异常日志，统一异常处理，XSS过滤，SQL防注入，国际化 等多种功能,https://github.com/ballcat-projects/ballcat,1731,13299,Java,Thu Apr 30 10:18:55 CST 2026,315,21
murraco/spring-boot-jwt,JWT auth service using Spring Boot; Spring Security and MySQL,https://github.com/murraco/spring-boot-jwt,1677,76,Java,Wed Apr 15 20:53:42 CST 2026,652,0
whwlsfb/JDumpSpider,HeapDump敏感信息提取工具,https://github.com/whwlsfb/JDumpSpider,1666,647,Java,Mon Dec 15 03:23:37 CST 2025,146,2
dibo-software/diboot,写的更少; 性能更好 -> 为开发人员打造的低代码开发框架，基础框架可免写90%的SQL，同时具备极强的零代码模型表单页面流程的设计能力和代码生成能力，可在pro-code、low-code、no-code之间自由选择灵活切换，全方位赋能开发。,https://github.com/dibo-software/diboot,1606,42284,Java,Wed Oct 15 04:19:30 CST 2025,286,0
kagkarlsson/db-scheduler,Persistent cluster-friendly scheduler for Java,https://github.com/kagkarlsson/db-scheduler,1579,3585,Java,Mon Jun 22 06:56:45 CST 2026,246,65
mateaix/matecloud,🔥MateCloud是一款基于Spring Cloud Alibaba的微服务架构。目前已经整合Spring Boot 4.0.7、 SpringCloud 2025、Spring Cloud Alibaba 2025、Spring Security Oauth2、Feign、Dubbo、JetCache、RocketMQ等，支持多租户的低代码平台，Saas平台开发套件,https://github.com/mateaix/matecloud,1569,20325,Java,Tue Jun 30 06:56:13 CST 2026,418,10
roncoo/roncoo-education,领课教育系统是一套基于点播、直播、考试、题库、任务等功能完善的在线教育系统，开源版是基于商业版精简实现的一个网课网校系统，致力于打造一个各行业都适用的在线培训系统、远程教学平台、学习管理系统、知识付费系统。,https://github.com/roncoo/roncoo-education,1520,138077,Java,Sun Jun 14 04:19:45 CST 2026,592,0
darbyluv2code/spring-boot-3-spring-6-hibernate-for-beginners,Source code for the course: Spring Boot 3; Spring 6 and Hibernate for Beginners,https://github.com/darbyluv2code/spring-boot-3-spring-6-hibernate-for-beginners,1494,1760,Java,Sun Apr 19 11:34:46 CST 2026,1087,2
spring-guides/gs-rest-service,Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.,https://github.com/spring-guides/gs-rest-service,1466,1658,Java,Fri May 01 06:41:52 CST 2026,2711,6
hawtio/hawtio,Hawtio web console helps you manage your JVM stuff and stay cool!,https://github.com/hawtio/hawtio,1460,114596,Java,Tue Jun 30 00:31:01 CST 2026,543,13
201206030/novel-cloud,novel-cloud 是基于 novel 构建的 Spring Cloud 微服务技术栈学习型小说项目。选用了 Spring Boot 3 、Spring Cloud 2022、Spring Cloud Alibaba 2022、MyBatis-Plus、ShardingSphere-JDBC、Redis、RabbitMQ、Elasticsearch 、XXL-JOB 等流行技术。,https://github.com/201206030/novel-cloud,1440,8469,Java,Fri Jul 18 12:05:53 CST 2025,506,11
mercyblitz/segmentfault-lessons,Segment Fault 在线讲堂 代码工程,https://github.com/mercyblitz/segmentfault-lessons,1428,197445,Java,Sat Dec 27 03:33:35 CST 2025,963,9
piomin/sample-spring-microservices-new,Demo for Spring Boot and Spring Cloud microservices with distributed configuration (Spring Cloud Config); service discovery (Eureka); API gateway (Spring Cloud Gateway; Zuul); Swagger/OpenAPI documentation (Springdoc); logs correlation using Spring Cloud Sleuth/Micrometer OTEL and many more,https://github.com/piomin/sample-spring-microservices-new,1384,417,Java,Thu Jun 18 04:06:37 CST 2026,807,2
AnghelLeonard/Hibernate-SpringBoot,Collection of 300+ best practices for Java persistence performance in Spring Boot applications,https://github.com/AnghelLeonard/Hibernate-SpringBoot,1371,33471,Java,Wed Mar 25 05:30:34 CST 2026,538,4
hantsy/spring-reactive-sample,Spring Reactive playground,https://github.com/hantsy/spring-reactive-sample,1367,4892,Java,Tue Jun 30 00:13:57 CST 2026,458,1
rstyro/Springboot,springboot 和一些主流框架的整合的各个基本demo,https://github.com/rstyro/Springboot,1315,10267,Java,Sat May 09 02:32:22 CST 2026,347,11
hamvocke/spring-testing,A Spring Boot application with lots of test examples,https://github.com/hamvocke/spring-testing,1234,6873,Java,Thu Oct 09 09:10:50 CST 2025,467,1
eazybytes/microservices,Microservices With Spring; Docker; Kubernetes - Code Examples,https://github.com/eazybytes/microservices,1233,4494,Java,Sun Dec 07 07:22:42 CST 2025,1213,12
rampatra/jbot,Make Slack and Facebook Bots in Java.,https://github.com/rampatra/jbot,1207,45820,Java,Wed Oct 08 09:04:53 CST 2025,341,78
adorsys/keycloak-config-cli,Import YAML/JSON-formatted configuration files into Keycloak - Configuration as Code for Keycloak.,https://github.com/adorsys/keycloak-config-cli,1155,19338,Java,Fri Jun 19 13:02:11 CST 2026,191,31
spring-projects/spring-modulith,Modular applications with Spring Boot,https://github.com/spring-projects/spring-modulith,1149,6446,Java,Wed Jun 24 10:03:58 CST 2026,196,129
juanjuandog/FinSight-AI,AI equity research agent with resilient workflows; Redis Lua single-flight; pgvector RAG; versioned reports; evidence tracing; and RAG evaluation.,https://github.com/juanjuandog/FinSight-AI,1111,1842,Java,Mon May 25 19:39:47 CST 2026,59,0
awspring/spring-cloud-aws,The New Home for Spring Cloud AWS,https://github.com/awspring/spring-cloud-aws,1103,33835,Java,Mon Jun 29 07:04:09 CST 2026,375,125
hiparker/opsli-boot,OPSLI 快速开发平台基于springboot、vue、element-ui ，项目采用前后端分离架构，热插拔式业务模块与插件扩展性高 ;代码简洁，功能丰富，开箱即用,https://github.com/hiparker/opsli-boot,1081,15909,Java,Sun Apr 19 18:32:34 CST 2026,225,13
zalando/problem-spring-web,A library for handling Problems in Spring Web MVC,https://github.com/zalando/problem-spring-web,1069,1572,Java,Mon Mar 23 04:56:10 CST 2026,131,52
gavlyukovskiy/spring-boot-data-source-decorator,Spring Boot integration with p6spy; datasource-proxy; flexy-pool and spring-cloud-sleuth,https://github.com/gavlyukovskiy/spring-boot-data-source-decorator,1055,3262,Java,Mon Jun 29 15:23:27 CST 2026,98,13
jaygajera17/E-commerce-project-springBoot,This project serves as an easy-to-understand setup for beginners ; providing a base foundation in Spring Boot ; MVC & hibernate.,https://github.com/jaygajera17/E-commerce-project-springBoot,1048,17763,Java,Fri May 08 10:55:30 CST 2026,1123,64
Byron4j/CookBook,🎉🎉🎉JAVA高级架构师技术栈==任何技能通过 “刻意练习” 都可以达到融会贯通的境界，就像烹饪一样，这里有一份JAVA开发技术手册，只需要增加自己练习的次数。🏃🏃🏃,https://github.com/Byron4j/CookBook,1033,71774,Java,Thu May 07 07:41:32 CST 2026,310,5
gaarason/database-all,Eloquent ORM for Java 8; 11; 17; 21; 23 and Spring boot 2.x ; 3.x,https://github.com/gaarason/database-all,1029,2186,Java,Sat May 09 11:30:02 CST 2026,27,13
microsoft/HydraLab,Intelligent cloud testing made easy.,https://github.com/microsoft/HydraLab,1025,146419,Java,Wed Jun 24 01:54:01 CST 2026,106,61
baidu/starlight,Java implementation for Baidu RPC; multi-protocol & high performance RPC.,https://github.com/baidu/starlight,974,4830,Java,Mon Oct 20 10:23:37 CST 2025,280,17
